DATE,M1SL
2016-08-01,3317.7
2016-09-01,3329.7
2016-10-01,3336.9
2016-11-01,3349.6
2016-12-01,3341.9
2017-01-01,3390.7
2017-02-01,3385.8
2017-03-01,3437.1
2017-04-01,3436.6
2017-05-01,3496.1
2017-06-01,3497.1
2017-07-01,3523.9
2017-08-01,3556.6
2017-09-01,3556.8
2017-10-01,3585.3
2017-11-01,3602.7
2017-12-01,3598.3
2018-01-01,3646.3
2018-02-01,3612.9
2018-03-01,3663.2
