Date, Open, High, Low, Close
01/31/18, 197.23, 197.60, 196.77, 197.38
01/30/18, 199.19, 199.58, 197.84, 198.14
01/29/18, 199.86, 200.06, 199.06, 199.54
01/26/18, 199.36, 200.82, 198.99, 200.52
01/25/18, 200.58, 201.19, 199.26, 199.34
01/24/18, 197.70, 199.62, 197.66, 199.51
01/23/18, 196.53, 197.34, 196.46, 196.94
01/22/18, 195.80, 196.63, 195.71, 196.22
01/19/18, 195.98, 196.22, 195.09, 195.50
01/18/18, 196.44, 196.57, 195.31, 196.34
01/17/18, 195.07, 196.54, 195.02, 196.40
01/16/18, 195.54, 195.56, 194.59, 195.11
01/12/18, 195.08, 196.06, 194.42, 196.06
01/11/18, 195.21, 195.99, 195.00, 195.16
01/10/18, 195.25, 195.31, 194.32, 194.83
01/09/18, 193.47, 194.37, 192.58, 194.16
01/08/18, 193.51, 193.51, 192.46, 192.92
01/05/18, 194.19, 194.52, 193.31, 193.45
01/04/18, 194.90, 195.73, 194.73, 195.37
01/03/18, 194.87, 195.37, 194.75, 195.35
01/02/18, 194.25, 194.93, 193.82, 194.72
12/29/17, 193.08, 194.05, 192.97, 193.86
12/28/17, 191.85, 193.06, 191.83, 193.04
12/27/17, 189.98, 191.54, 189.98, 191.47
12/26/17, 188.35, 190.57, 188.35, 190.47
12/22/17, 187.17, 187.93, 186.90, 187.88
12/21/17, 186.74, 187.76, 186.24, 187.74
12/20/17, 186.60, 187.17, 186.20, 187.09
12/19/17, 185.63, 186.36, 185.58, 186.02
12/18/17, 185.53, 186.04, 185.17, 185.42
12/15/17, 184.77, 185.09, 184.32, 184.52
12/14/17, 183.08, 184.29, 182.98, 184.22
12/13/17, 184.46, 184.64, 183.32, 183.36
12/12/17, 186.20, 186.29, 183.24, 183.41
12/11/17, 185.45, 185.75, 185.10, 185.49
12/08/17, 185.80, 185.85, 184.61, 185.02
12/07/17, 184.32, 184.59, 183.86, 184.47
12/06/17, 186.99, 187.10, 184.71, 184.72
12/05/17, 187.93, 188.29, 187.38, 187.47
12/04/17, 190.21, 190.46, 188.61, 188.69
12/01/17, 190.12, 191.45, 189.81, 190.69
11/30/17, 191.07, 191.26, 188.78, 189.17
11/29/17, 191.24, 192.16, 190.36, 190.90
11/28/17, 190.91, 191.41, 190.88, 191.21
11/27/17, 191.79, 192.23, 190.99, 191.63
11/24/17, 192.20, 192.47, 191.88, 192.22
11/22/17, 190.82, 191.76, 190.65, 191.60
11/21/17, 189.20, 190.34, 189.12, 189.83
11/20/17, 189.26, 189.38, 188.36, 189.21
11/17/17, 189.23, 190.53, 189.04, 190.39
11/16/17, 188.47, 189.07, 188.14, 188.25
11/15/17, 188.23, 188.85, 188.03, 188.64
11/14/17, 190.87, 190.97, 188.61, 189.06
11/13/17, 191.37, 192.16, 191.22, 191.45
11/10/17, 191.82, 192.31, 191.23, 191.65
11/09/17, 191.82, 192.66, 191.78, 191.87
11/08/17, 191.72, 192.99, 191.40, 191.89
11/07/17, 191.93, 192.30, 191.38, 191.85
11/06/17, 190.14, 192.83, 189.71, 192.57
11/03/17, 188.53, 189.44, 187.82, 189.38
11/02/17, 187.81, 188.21, 187.42, 188.13
11/01/17, 188.84, 188.84, 187.49, 187.94
10/31/17, 187.29, 187.78, 186.80, 187.56
10/30/17, 187.09, 187.80, 187.02, 187.53
10/27/17, 185.00, 187.00, 184.72, 186.89
10/26/17, 185.22, 186.07, 184.78, 185.94
10/25/17, 185.71, 186.11, 185.15, 185.40
10/24/17, 184.99, 185.87, 184.47, 185.82
10/23/17, 184.54, 185.01, 184.42, 184.71
10/20/17, 183.98, 184.40, 183.35, 184.12
10/19/17, 183.48, 184.34, 183.35, 184.07
10/18/17, 184.21, 184.51, 183.60, 183.99
10/17/17, 184.65, 185.02, 183.82, 184.24
10/16/17, 185.60, 185.73, 184.42, 184.62
10/13/17, 184.61, 185.01, 183.96, 184.83
10/12/17, 182.80, 183.80, 182.34, 183.28
10/11/17, 183.36, 183.74, 182.97, 183.50
10/10/17, 182.21, 183.49, 182.06, 183.20
10/09/17, 181.03, 181.17, 180.51, 180.96
10/06/17, 182.19, 182.19, 180.48, 180.95
10/05/17, 181.56, 183.40, 181.56, 182.94
10/04/17, 181.14, 181.86, 181.03, 181.29
10/03/17, 180.68, 181.17, 180.33, 180.90
10/02/17, 181.28, 181.28, 180.31, 180.91
09/29/17, 182.69, 183.53, 182.41, 183.09
09/28/17, 184.02, 184.11, 182.56, 182.99
09/27/17, 183.25, 183.96, 183.02, 183.86
09/26/17, 184.33, 184.33, 183.10, 183.40
09/25/17, 183.85, 184.69, 183.53, 184.61
09/22/17, 183.74, 184.15, 183.19, 183.57
09/21/17, 183.33, 183.81, 183.16, 183.40
09/20/17, 183.44, 184.94, 183.31, 184.63
09/19/17, 183.67, 184.07, 182.34, 182.58
09/18/17, 183.70, 184.24, 183.10, 183.73
09/15/17, 183.25, 184.14, 183.19, 184.05
09/14/17, 183.30, 184.31, 183.17, 183.31
09/13/17, 182.36, 182.98, 181.99, 182.88
09/12/17, 181.52, 182.21, 180.92, 181.41
09/11/17, 180.73, 181.83, 180.24, 181.66
09/08/17, 182.88, 183.12, 180.87, 181.17
09/07/17, 182.88, 183.16, 182.45, 182.87
09/06/17, 182.70, 183.29, 182.35, 183.00
09/05/17, 181.44, 182.97, 181.44, 182.34
